res,n_k_points_train,p,energy_density_train,energy_density_test
1,6,2,0.2981196794338885,2.5416176793175245
1,6,3,0.12471538521563258,1.8674000361341663
1,6,4,0.05684728298935457,1.5962418700560272
1,6,5,0.02627447537769891,1.3371856417318178
1,6,6,0.02139513354603202,0.9752097121955599
1,6,7,0.01606977445099974,0.6172641305498024
1,6,8,0.010802570535084634,0.6880895457847864
1,6,9,0.009639440031013604,0.5354848489027517
1,6,10,0.010197610702530033,0.7809105145538623
2,12,2,0.4902816813112938,0.5531657940312519
2,12,3,0.18342214194792056,0.18439405867212183
2,12,4,0.14880983778020576,0.14978175062237414
2,12,5,0.08457827763692244,0.08555355053565623
2,12,6,0.04418422014119184,0.0451138100110385
2,12,7,0.022840964093371496,0.023520094648003212
2,12,8,0.018095493446646998,0.018515859167863136
2,12,9,0.013359269444118785,0.013882277599116541
2,12,10,0.012155310168005497,0.012550288867283432
3,18,2,0.31499854328904364,0.26674947968616886
3,18,3,0.12253693584952714,0.10579551679074327
3,18,4,0.0486671757108244,0.04429246555700952
3,18,5,0.026470999712773714,0.024012017848890607
3,18,6,0.017976553400229446,0.01704833819872672
3,18,7,0.01023575201412836,0.00954900283215999
3,18,8,0.006899061464161003,0.0065314226484697
3,18,9,0.005508951651202843,0.005175874237935371
3,18,10,0.00430875247812712,0.004077245598653653
4,24,2,0.5836980553560691,0.5837088721078142
4,24,3,0.19453724005326486,0.1945480568050099
4,24,4,0.15568557215301787,0.15569638890476287
4,24,5,0.08932531067117898,0.08933612742463627
4,24,6,0.043140889812869565,0.04315170665627417
4,24,7,0.036694398908581304,0.03670521579968715
4,24,8,0.02089646234798103,0.02090727880227404
4,24,9,0.01563468762287741,0.015645509381262922
4,24,10,0.01010989001155702,0.010120707027205326
